Observation,Year,Sequence,Terminal Fate
MEDIUM,Y4,03404333000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,0000000004000,DORMANT
MEDIUM,Y4,000030,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,003030300,DORMANT
MEDIUM,Y4,0004400,LARGE
MEDIUM,Y4,0,DORMANT
MEDIUM,Y4,00000000000000,DORMANT
MEDIUM,Y4,03330330300,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00304000,DORMANT
MEDIUM,Y4,00030303000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000000033300,DORMANT
MEDIUM,Y4,000030404000,LARGE
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0030003000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0400000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,3,DORMANT
MEDIUM,Y4,00000004040000,FLORAL
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000003000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0000000330000,DORMANT
MEDIUM,Y4,0040433330,DORMANT
MEDIUM,Y4,003300000,DORMANT
MEDIUM,Y4,00004440440000,DORMANT
MEDIUM,Y4,00030000,DORMANT
MEDIUM,Y4,0004344040,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000,FLORAL
MEDIUM,Y4,003000,LARGE
MEDIUM,Y4,00043404300,DORMANT
MEDIUM,Y4,000300000,DORMANT
MEDIUM,Y4,0000403000000,DORMANT
MEDIUM,Y4,0000444444000,FLORAL
MEDIUM,Y4,0000003000000,DORMANT
MEDIUM,Y4,0000000000000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,03333330000,DORMANT
MEDIUM,Y4,04040000,DORMANT
MEDIUM,Y4,00000,LARGE
MEDIUM,Y4,0030333330000,DORMANT
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0000300400000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0000404000,DORMANT
MEDIUM,Y4,00033303033300,DORMANT
MEDIUM,Y4,0003044,MEDIUM
MEDIUM,Y4,043000,DORMANT
MEDIUM,Y4,000030000,DORMANT
MEDIUM,Y4,0000000003000,DORMANT
MEDIUM,Y4,00000004,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,00040000,DORMANT
MEDIUM,Y4,0000000000000033,DORMANT
MEDIUM,Y4,0040,MEDIUM
MEDIUM,Y4,0000003000,DORMANT
MEDIUM,Y4,0400,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,000,DORMANT
MEDIUM,Y4,0000400400,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,0000004,DORMANT
MEDIUM,Y4,00030000000,DORMANT
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,00040000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000034040300,DORMANT
MEDIUM,Y4,00000000000,DORMANT
MEDIUM,Y4,003300,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,00400,DORMANT
MEDIUM,Y4,00000000000,DORMANT
MEDIUM,Y4,0000330000,DORMANT
MEDIUM,Y4,000004040000,DORMANT
MEDIUM,Y4,0033303,LARGE
MEDIUM,Y4,0033040040,DORMANT
MEDIUM,Y4,003033303000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000440440400,DORMANT
MEDIUM,Y4,00000000000,DORMANT
MEDIUM,Y4,0000400000,FLORAL
MEDIUM,Y4,00000003300000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000030000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,00000000000000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,0003343300,DORMANT
MEDIUM,Y4,000000000040040000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,0000000,LARGE
MEDIUM,Y4,000003000000,DORMANT
MEDIUM,Y4,0003314040400120,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,000000030,DORMANT
MEDIUM,Y4,0000034040000,DORMANT
MEDIUM,Y4,003000000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,00000000000,DORMANT
MEDIUM,Y4,003044444000400,LARGE
MEDIUM,Y4,0000444400,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00433333000,DORMANT
MEDIUM,Y4,000003030,LARGE
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,000003,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,0003333300,DORMANT
MEDIUM,Y4,00000000000000,DORMANT
MEDIUM,Y4,003,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,003440404400,DORMANT
MEDIUM,Y4,0,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000300,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0030000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,0000300,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00030300,DORMANT
MEDIUM,Y4,000000003004000,DORMANT
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,000000300,DORMANT
MEDIUM,Y4,000402,FLORAL
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00304000,DORMANT
MEDIUM,Y4,0000003300000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00004340000,DORMANT
MEDIUM,Y4,003000,DORMANT
MEDIUM,Y4,0000000033300300,DORMANT
MEDIUM,Y4,00000000300000,DORMANT
MEDIUM,Y4,000000000000000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00030333000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00433333300,DORMANT
MEDIUM,Y4,0000333040300300,DORMANT
MEDIUM,Y4,0040444,LARGE
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,0000004000000,DORMANT
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,000040400,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,00034044000,DORMANT
MEDIUM,Y4,003340000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0030000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0003043000,DORMANT
MEDIUM,Y4,00000000433000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000000000,LARGE
MEDIUM,Y4,00000000030,DORMANT
MEDIUM,Y4,0000300400,DORMANT
MEDIUM,Y4,03000000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,0003,DORMANT
MEDIUM,Y4,000030000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,000030300000,DORMANT
MEDIUM,Y4,0000040404000,DORMANT
MEDIUM,Y4,00044044400,DORMANT
MEDIUM,Y4,00000400,DORMANT
MEDIUM,Y4,000000033000,DORMANT
MEDIUM,Y4,033003300,DORMANT
MEDIUM,Y4,000000000000,DORMANT
MEDIUM,Y4,00000000000004000,DORMANT
MEDIUM,Y4,0333333300000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,00030000,DORMANT
MEDIUM,Y4,04000,DORMANT
MEDIUM,Y4,0000000000,DORMANT
MEDIUM,Y4,00004000,DORMANT
MEDIUM,Y4,000000040330,DORMANT
MEDIUM,Y4,00030333333000,DORMANT
MEDIUM,Y4,000030303,DORMANT
MEDIUM,Y4,000000,FLORAL
MEDIUM,Y4,000302330,LARGE
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000300,DORMANT
MEDIUM,Y4,0000000000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0000300000,DORMANT
MEDIUM,Y4,000300000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,0000040300300,DORMANT
MEDIUM,Y4,0000003000000,DORMANT
MEDIUM,Y4,03000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,00000000000000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000034000440000,DORMANT
MEDIUM,Y4,000040000000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000003000,DORMANT
MEDIUM,Y4,000000,FLORAL
MEDIUM,Y4,0000403000,DORMANT
MEDIUM,Y4,000004,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000343033000,DORMANT
MEDIUM,Y4,00000000,LARGE
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000333330000,DORMANT
MEDIUM,Y4,0003343300,DORMANT
MEDIUM,Y4,000000000000,DORMANT
MEDIUM,Y4,000004000,LARGE
MEDIUM,Y4,00000000000,DORMANT
MEDIUM,Y4,00003433400,DORMANT
MEDIUM,Y4,00000040000000,DORMANT
MEDIUM,Y4,0003033030000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,00003044040000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000003333,DORMANT
MEDIUM,Y4,000303300,LARGE
MEDIUM,Y4,000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,0000000003400000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,0004044000,DORMANT
MEDIUM,Y4,00000000430000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,003000000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,0303000,DORMANT
MEDIUM,Y4,000004044400,DORMANT
MEDIUM,Y4,0000004000000,LARGE
MEDIUM,Y4,000000000400000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,00030444,LARGE
MEDIUM,Y4,0400,DORMANT
MEDIUM,Y4,0000000000000,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,0000400000,DORMANT
MEDIUM,Y4,00000000030,DORMANT
MEDIUM,Y4,000000000,DORMANT
MEDIUM,Y4,0000000000000,DORMANT
MEDIUM,Y4,00000000000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000000000000000,DORMANT
MEDIUM,Y4,00030000,DORMANT
MEDIUM,Y4,0000000000000,DORMANT
MEDIUM,Y4,000000000000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,00004000,LARGE
MEDIUM,Y4,00030000,LARGE
MEDIUM,Y4,0000000300000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,0000300300000,DORMANT
MEDIUM,Y4,0000000,DORMANT
MEDIUM,Y4,00040444400,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000034040000,DORMANT
MEDIUM,Y4,0000334300000,DORMANT
MEDIUM,Y4,00000000000,DORMANT
MEDIUM,Y4,000000000000,DORMANT
MEDIUM,Y4,0000034040000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,000004000,DORMANT
MEDIUM,Y4,004043,DORMANT
MEDIUM,Y4,0000003000,DORMANT
MEDIUM,Y4,00000,DORMANT
MEDIUM,Y4,000030440,LARGE
MEDIUM,Y4,0000000300,DORMANT
MEDIUM,Y4,0003333303000,DORMANT
MEDIUM,Y4,000000000000000,DORMANT
MEDIUM,Y4,000444000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,0000000000000,DORMANT
MEDIUM,Y4,000333304000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,003004000,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000300000,DORMANT
MEDIUM,Y4,00030000,DORMANT
MEDIUM,Y4,40003330443300,DORMANT
MEDIUM,Y4,0003004400,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,000000040440,DORMANT
MEDIUM,Y4,000000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,00000333330000,DORMANT
MEDIUM,Y4,00000000,DORMANT
MEDIUM,Y4,00003330000,DORMANT
MEDIUM,Y4,000000000000,DORMANT
MEDIUM,Y5,003003300000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,000300000000000,DORMANT
MEDIUM,Y5,0000,DORMANT
MEDIUM,Y5,000000000,DORMANT
MEDIUM,Y5,00000000,DORMANT
MEDIUM,Y5,00000300,DORMANT
MEDIUM,Y5,0030444000,DORMANT
MEDIUM,Y5,0030,DORMANT
MEDIUM,Y5,004000,DORMANT
MEDIUM,Y5,000300000000,DORMANT
MEDIUM,Y5,003300300,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,0300,DORMANT
MEDIUM,Y5,00003333000,DORMANT
MEDIUM,Y5,00000000,DORMANT
MEDIUM,Y5,00404333300000,DORMANT
MEDIUM,Y5,003000003000,DORMANT
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,000,DORMANT
MEDIUM,Y5,0000400,DORMANT
MEDIUM,Y5,00434344,FLORAL
MEDIUM,Y5,000300,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,003033300,LARGE
MEDIUM,Y5,000044000,DORMANT
MEDIUM,Y5,000000000000,DORMANT
MEDIUM,Y5,0003,DORMANT
MEDIUM,Y5,00000000,DORMANT
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,00030000,DORMANT
MEDIUM,Y5,003330400,DORMANT
MEDIUM,Y5,000040404000000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,003,LARGE
MEDIUM,Y5,0000344044000,FLORAL
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,000000000,DORMANT
MEDIUM,Y5,000300,DORMANT
MEDIUM,Y5,0000000333000,DORMANT
MEDIUM,Y5,030030300,DORMANT
MEDIUM,Y5,00000003000,DORMANT
MEDIUM,Y5,0000,DORMANT
MEDIUM,Y5,0000,DORMANT
MEDIUM,Y5,0300300000000000,DORMANT
MEDIUM,Y5,000003,DORMANT
MEDIUM,Y5,00000000,DORMANT
MEDIUM,Y5,0000,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,0004000000,DORMANT
MEDIUM,Y5,0000000400,DORMANT
MEDIUM,Y5,0003440000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,000404,MEDIUM
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,000030000000,DORMANT
MEDIUM,Y5,0000000333304000,DORMANT
MEDIUM,Y5,000000000000,DORMANT
MEDIUM,Y5,000300000,DORMANT
MEDIUM,Y5,000000000000,DORMANT
MEDIUM,Y5,0000000033300030,DORMANT
MEDIUM,Y5,000000000,DORMANT
MEDIUM,Y5,004400,DORMANT
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,0030000,DORMANT
MEDIUM,Y5,000300000,DORMANT
MEDIUM,Y5,0000000000000300,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,004043330000,DORMANT
MEDIUM,Y5,3000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,0000000000000,DORMANT
MEDIUM,Y5,00043,LARGE
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,00000000000000,DORMANT
MEDIUM,Y5,0000300,LARGE
MEDIUM,Y5,00300333330,DORMANT
MEDIUM,Y5,000004000,DORMANT
MEDIUM,Y5,000000004000040000,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,000040330000,DORMANT
MEDIUM,Y5,00000030000000,DORMANT
MEDIUM,Y5,0040020,DORMANT
MEDIUM,Y5,00000000,DORMANT
MEDIUM,Y5,00000000000,DORMANT
MEDIUM,Y5,000030404000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,00000344044000,LARGE
MEDIUM,Y5,03030,DORMANT
MEDIUM,Y5,000003300,DORMANT
MEDIUM,Y5,0000040400000,DORMANT
MEDIUM,Y5,00000000000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,0000000000,DORMANT
MEDIUM,Y5,00000000000,LARGE
MEDIUM,Y5,000000000,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,00000000100,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,00300,DORMANT
MEDIUM,Y5,030310300,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,0000000003,DORMANT
MEDIUM,Y5,000030400,DORMANT
MEDIUM,Y5,003000000,DORMANT
MEDIUM,Y5,00404404400,DORMANT
MEDIUM,Y5,0034040,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,003000,DORMANT
MEDIUM,Y5,0333000300,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,000334040000,DORMANT
MEDIUM,Y5,000000000,DORMANT
MEDIUM,Y5,0004000,DORMANT
MEDIUM,Y5,000000000000,DORMANT
MEDIUM,Y5,004030,LARGE
MEDIUM,Y5,000000000000000,DORMANT
MEDIUM,Y5,00040444400,DORMANT
MEDIUM,Y5,00440434300000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,003044400,LARGE
MEDIUM,Y5,0003434040400,DORMANT
MEDIUM,Y5,00000440400004400,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,0000,DORMANT
MEDIUM,Y5,00000000,DORMANT
MEDIUM,Y5,030000000,DORMANT
MEDIUM,Y5,00000300300,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,00404440400,DORMANT
MEDIUM,Y5,00000000,DORMANT
MEDIUM,Y5,00000300000,DORMANT
MEDIUM,Y5,0000003000,DORMANT
MEDIUM,Y5,0003000,DORMANT
MEDIUM,Y5,00400000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,0000333000,DORMANT
MEDIUM,Y5,00000,DORMANT
MEDIUM,Y5,00000000,DORMANT
MEDIUM,Y5,0000444440000,DORMANT
MEDIUM,Y5,000003034000,DORMANT
MEDIUM,Y5,0000000,DORMANT
MEDIUM,Y5,000000,DORMANT
MEDIUM,Y5,00000000,DORMANT
MEDIUM,Y5,0000,DORMANT
MEDIUM,Y5,00000,DORMANT
